name,email,phone,website,address,city,state,niche,rating,reviewCount,lastReviewDate,reviewsLink,competitorName,competitorReviewCount,lane,sourceQuery,qa_flags,qa_recommendation
Candlewick Kennels,petresort@candlewickkennels.com,+1 860-310-1916,https://www.candlewickkennels.com/%3Futm_source%3Dgmb%26utm_medium%3Dorganic%26y_source%3D1_MTE2NjkwOTMtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,"2811 Hebron Ave, Glastonbury, CT 06033",Glastonbury,Connecticut,Pet boarding service,4.8,499,,https://search.google.com/local/reviews?placeid=ChIJL1ltEVpa5okRa7fpix2lzbA&q=*&authuser=0&hl=en&gl=US,,,reviews,"pet boarding, Connecticut, USA",,ok
Wet Paws Dog Grooming,requests@wetpawsdogrooming.com,+1 203-665-0083,https://wetpawsdogrooming.com/,"4244 Madison Ave, Trumbull, CT 06611",Trumbull,Connecticut,Pet groomer,4.7,295,,https://search.google.com/local/reviews?placeid=ChIJ19NVyCoP6IkRrSfPTNchbTU&q=*&authuser=0&hl=en&gl=US,,,reviews,"pet groomer, Connecticut, USA",,ok
Planet Bark,myra@planetbark.com,+1 860-882-1711,http://www.planetbark.com/,"37 Darcy St, West Hartford, CT 06110",West Hartford,Connecticut,Dog day care center,4.7,71,,https://search.google.com/local/reviews?placeid=ChIJo8kaw9es54kRSEiA8fQ_qEk&q=*&authuser=0&hl=en&gl=US,,,reviews,"dog daycare, Connecticut, USA",,ok
Paw Haven,thepack@pawhavenct.com,+1 203-535-0453,http://www.pawhavenct.com/,"1175 State St Suite 241, New Haven, CT 06511",New Haven,Connecticut,Dog day care center,4.6,201,,https://search.google.com/local/reviews?placeid=ChIJYZ9qzN_Z54kRiqJFJyiGR6M&q=*&authuser=0&hl=en&gl=US,,,reviews,"dog daycare, Connecticut, USA",,ok
Milford Med Spa,frontdesk@holistichealingpartners.com,+1 203-701-6161,http://milfordmedspa.com/,"99 Cherry St Suite F, Milford, CT 06460",Milford,Connecticut,Medical spa,4.9,373,,https://search.google.com/local/reviews?placeid=ChIJa41x81Z16IkRUNRPJwnGBJY&q=*&authuser=0&hl=en&gl=US,,,reviews,"med spa, Connecticut, USA",,ok
Magnolia Med Spa,amanda@magnoliamedspact.com,+1 860-798-4600,https://www.magnoliamedspact.com/,"4 Forest Park Dr Suite 4-1-LB, Farmington, CT 06032",Farmington,Connecticut,Medical spa,4.9,51,,https://search.google.com/local/reviews?placeid=ChIJEd5vTQqv54kRVytl0OKvF3Y&q=*&authuser=0&hl=en&gl=US,,,reviews,"med spa, Connecticut, USA",,ok
Downtown Dental CT,office@regentsdental.com,+1 203-367-0400,https://downtowndentalct.com/,"1023 Main St, Bridgeport, CT 06604",Bridgeport,Connecticut,Dentist,4.9,702,,https://search.google.com/local/reviews?placeid=ChIJ9YTfw3AO6IkRy_txc4BRSZg&q=*&authuser=0&hl=en&gl=US,,,reviews,"dental office, Connecticut, USA",,ok
Center Dental Office,info@centerdentaloffice.com,+1 860-523-4239,http://www.centerdentaloffice.com/,"836 Farmington Ave Suite 120, West Hartford, CT 06119",West Hartford,Connecticut,Dentist,5,172,,https://search.google.com/local/reviews?placeid=ChIJnatZs7-s54kRTqP2y9uQLJc&q=*&authuser=0&hl=en&gl=US,,,reviews,"dental office, Connecticut, USA",,ok
Connecticut Family Dental Group,mailbox@ctfamilydentalgroup.com,+1 860-756-5423,https://www.dentist-rocky-hill.com/,"88 New Britain Ave, Rocky Hill, CT 06067",Rocky Hill,Connecticut,Dentist,4.9,279,,https://search.google.com/local/reviews?placeid=ChIJ5Qy-H-9M5okRSwCc5hZaNGw&q=*&authuser=0&hl=en&gl=US,,,reviews,"dental office, Connecticut, USA",,ok
Smile Dental Center,office@smiledentalcenterct.com,+1 203-712-7726,https://www.smiledentalcenterct.com/%3Futm_source%3Dgmb%26utm_medium%3Dorganic,"1000 Bridgeport Ave, Shelton, CT 06484",Shelton,Connecticut,Dentist,5,717,,https://search.google.com/local/reviews?placeid=ChIJa2gnjXfg54kRu3zvyaG2T9M&q=*&authuser=0&hl=en&gl=US,,,reviews,"dental office, Connecticut, USA",,ok
