name,email,phone,website,address,city,state,niche,rating,reviewCount,lastReviewDate,reviewsLink,competitorName,competitorReviewCount,lane,sourceQuery
"Advance Plumbing & Heating, Inc.",azplumbers@aol.com,+1 860-232-3053,https://www.advanceplumbingheating.com/,"700 N Mountain Rd, Newington, CT 06111",Newington,Connecticut,Plumber,4.8,680,,https://search.google.com/local/reviews?placeid=ChIJs28uEjat54kRPLczkTId6s4&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
bluefrog Plumbing + Drain of Central Connecticut,ncfazzinoplumbing@gmail.com,+1 203-937-2772,https://www.bluefrogplumbingcentralct.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp,"121 N Plains Industrial Rd Unit R, Wallingford, CT 06492",Wallingford,Connecticut,Plumber,4.8,542,,https://search.google.com/local/reviews?placeid=ChIJh814gXLJ54kR6u3Rowl263I&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
bluefrog Plumbing + Drain of Central Connecticut,csr@bfplumbingct.com,+1 203-937-2772,https://www.bluefrogplumbingcentralct.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp,"121 N Plains Industrial Rd Unit R, Wallingford, CT 06492",Wallingford,Connecticut,Plumber,4.8,542,,https://search.google.com/local/reviews?placeid=ChIJh814gXLJ54kR6u3Rowl263I&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
Vanguard Plumbing Solutions LLC,hello@rfuenzalida.com,+1 860-266-5370,http://vanguardplumbingsolutions.com/,"491 Bantam Rd # C, Litchfield, CT 06759",Litchfield,Connecticut,Plumber,4.9,176,,https://search.google.com/local/reviews?placeid=ChIJ0-P1ApDQKEIR1km4f6Vl1z4&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
Vanguard Plumbing Solutions LLC,matt@pixelspread.com,+1 860-266-5370,http://vanguardplumbingsolutions.com/,"491 Bantam Rd # C, Litchfield, CT 06759",Litchfield,Connecticut,Plumber,4.9,176,,https://search.google.com/local/reviews?placeid=ChIJ0-P1ApDQKEIR1km4f6Vl1z4&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
Vanguard Plumbing Solutions LLC,tim@vanguardplumbingsolutions.com,+1 860-266-5370,http://vanguardplumbingsolutions.com/,"491 Bantam Rd # C, Litchfield, CT 06759",Litchfield,Connecticut,Plumber,4.9,176,,https://search.google.com/local/reviews?placeid=ChIJ0-P1ApDQKEIR1km4f6Vl1z4&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
"Escape Plumbing & Heating, LLC",escapeplumbing@optonline.net,+1 860-590-8481,http://escapeplumbing.com/,"8 West St, Morris, CT 06763",Morris,Connecticut,Plumber,5,302,,https://search.google.com/local/reviews?placeid=ChIJy0SUK8mT54kRUut523vwXts&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
"Escape Plumbing & Heating, LLC",escapeplumbing@gmail.com,+1 860-590-8481,http://escapeplumbing.com/,"8 West St, Morris, CT 06763",Morris,Connecticut,Plumber,5,302,,https://search.google.com/local/reviews?placeid=ChIJy0SUK8mT54kRUut523vwXts&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
All State Plumbing Pros,allstateplumbingct@gmail.com,+1 203-456-3636,https://allstateplumbingct.com/,"39 Kenosia Ave, Danbury, CT 06810",Danbury,Connecticut,Plumber,4.9,212,,https://search.google.com/local/reviews?placeid=ChIJa-qojMZX3YkR-0nhbsW16Qk&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
Al's Plumbing LLC,alsplumbing203@gmail.com,+1 203-298-3856,https://www.ctplumbingremodeling.com/,"494 Bridgeport Ave, Shelton, CT 06484",Shelton,Connecticut,Plumber,4.7,135,,https://search.google.com/local/reviews?placeid=ChIJk6RQipgK6IkRylBT-iy0kaA&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
Al's Plumbing LLC,mligi1@yahoo.com,+1 203-298-3856,https://www.ctplumbingremodeling.com/,"494 Bridgeport Ave, Shelton, CT 06484",Shelton,Connecticut,Plumber,4.7,135,,https://search.google.com/local/reviews?placeid=ChIJk6RQipgK6IkRylBT-iy0kaA&q=*&authuser=0&hl=en&gl=US,,,relay,"plumber, Connecticut, USA"
